TOBG_EAC-34,200795,Bacteria;Chloroflexi
TOBG_EAC-39,40222,Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Piscirickettsiaceae;Methylophaga
TOBG_SP-2997,84994,Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae
TOBG_MED-705,1,
TOBG_MED-704,49546,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae
TOBG_MED-706,1,
TOBG_MED-701,1236,Bacteria;Proteobacteria;Gammaproteobacteria
TOBG_MED-700,1,
TOBG_MED-703,1,
TOBG_MED-702,85,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Hyphomonadaceae;Hyphomonas
TOBG_MED-709,1236,Bacteria;Proteobacteria;Gammaproteobacteria
TOBG_MED-708,1,
TOBG_SP-306,1652132,Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Halobacteriovoraceae
TOBG_RS-412,367771,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Marinovum
TOBG_RS-411,226,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas
TOBG_SP-305,200644,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales
TOBG_SAT-118,1,
TOBG_SP-304,84994,Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae
TOBG_NP-1301,49546,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae
TOBG_NP-1304,119043,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhodobiaceae
TOBG_NP-39,135620,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae
TOBG_ARS-1318,1,
TOBG_IN-9,72274,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales
TOBG_IN-3,469,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter
TOBG_ARS-1310,1224,Bacteria;Proteobacteria
TOBG_IN-6,2742,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Marinobacter
TOBG_IN-7,305976,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Pusillimonas
TOBG_IN-4,305976,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Pusillimonas
TOBG_IN-5,40222,Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Piscirickettsiaceae;Methylophaga
TOBG_NP-89,200644,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales
TOBG_NP-86,126,Bacteria;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae
TOBG_NP-87,126,Bacteria;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae
TOBG_NP-84,1,
