TARA_ION_MAG_00074,766,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales
TARA_ANW_MAG_00033,28890,Archaea;Euryarchaeota
TARA_PSW_MAG_00076,1224,Bacteria;Proteobacteria
TARA_ANW_MAG_00076,200644,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales
TARA_ASW_MAG_00038,2902,Eukaryota;Isochrysidales;Noelaerhabdaceae;Emiliania
TARA_ANE_MAG_00002,28211,Bacteria;Proteobacteria;Alphaproteobacteria
TARA_MED_MAG_00070,1224,Bacteria;Proteobacteria
TARA_PSW_MAG_00004,59753,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae;Alcanivorax
TARA_PON_MAG_00013,28221,Bacteria;Proteobacteria;Deltaproteobacteria
TARA_ION_MAG_00039,200644,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales
TARA_ASE_MAG_00024,41874,Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Bathycoccus
TARA_PSW_MAG_00075,28890,Archaea;Euryarchaeota
TARA_IOS_MAG_00061,72275,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae
TARA_PSE_MAG_00007,200644,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales
TARA_ION_MAG_00012,1,
TARA_ANW_MAG_00082,200644,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales
TARA_ASW_MAG_00021,28890,Archaea;Euryarchaeota
TARA_PSE_MAG_00137,2759,Eukaryota
TARA_PSW_MAG_00003,200644,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales
TARA_ION_MAG_00027,1,
TARA_ANE_MAG_00087,72275,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae
TARA_PSE_MAG_00073,1655514,Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae
TARA_PSE_MAG_00005,336276,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Olleya
TARA_IOS_MAG_00038,28890,Archaea;Euryarchaeota
TARA_ANW_MAG_00088,38832,Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas
TARA_MED_MAG_00092,1236,Bacteria;Proteobacteria;Gammaproteobacteria
TARA_IOS_MAG_00027,1,
TARA_ANE_MAG_00018,1236,Bacteria;Proteobacteria;Gammaproteobacteria
TARA_ASW_MAG_00042,44055,Eukaryota;Pelagophyceae;Pelagomonadales;Aureococcus
TARA_MED_MAG_00101,200644,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales
TARA_PSW_MAG_00084,41295,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae
TARA_ANE_MAG_00091,2759,Eukaryota
TARA_MED_MAG_00041,203557,Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae
TARA_ANW_MAG_00056,415000,Bacteria;Verrucomicrobia;Opitutae;Opitutales
TARA_MED_MAG_00062,200644,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales
TARA_ANW_MAG_00049,1236,Bacteria;Proteobacteria;Gammaproteobacteria
TARA_RED_MAG_00011,48461,Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales
TARA_PSW_MAG_00066,1,
TARA_PSE_MAG_00026,1236,Bacteria;Proteobacteria;Gammaproteobacteria
TARA_MED_MAG_00051,1236,Bacteria;Proteobacteria;Gammaproteobacteria
TARA_ION_MAG_00035,200644,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales
TARA_ANW_MAG_00080,38832,Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas
TARA_IOS_MAG_00006,59753,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae;Alcanivorax
TARA_PSW_MAG_00019,1236,Bacteria;Proteobacteria;Gammaproteobacteria
TARA_MED_MAG_00093,200644,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales
TARA_MED_MAG_00096,1236,Bacteria;Proteobacteria;Gammaproteobacteria
TARA_MED_MAG_00024,1,
TARA_RED_MAG_00009,1224,Bacteria;Proteobacteria
TARA_PSW_MAG_00027,126,Bacteria;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae
TARA_MED_MAG_00023,1,
TARA_ASE_MAG_00026,44055,Eukaryota;Pelagophyceae;Pelagomonadales;Aureococcus
TARA_ASE_MAG_00014,1,
TARA_ION_MAG_00070,72275,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae
TARA_ANE_MAG_00074,2037,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales
TARA_IOS_MAG_00068,2759,Eukaryota
TARA_PSE_MAG_00014,200667,Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae
TARA_IOS_MAG_00039,28890,Archaea;Euryarchaeota
TARA_ASW_MAG_00029,72274,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales
TARA_PON_MAG_00082,70447,Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Ostreococcus
TARA_PSW_MAG_00017,1763,Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium
TARA_ANE_MAG_00090,38832,Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas
TARA_ANE_MAG_00004,976,Bacteria;Bacteroidetes
TARA_PSE_MAG_00027,41295,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae
TARA_IOS_MAG_00046,1,
TARA_IOS_MAG_00024,1224,Bacteria;Proteobacteria
TARA_ANW_MAG_00001,356,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales
TARA_MED_MAG_00108,167375,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Cyanobium
TARA_RED_MAG_00116,70447,Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Ostreococcus
TARA_ION_MAG_00017,1236,Bacteria;Proteobacteria;Gammaproteobacteria
TARA_ASE_MAG_00004,1,
TARA_MED_MAG_00140,2759,Eukaryota
TARA_IOS_MAG_00005,415000,Bacteria;Verrucomicrobia;Opitutae;Opitutales
TARA_PSW_MAG_00041,49546,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae
TARA_RED_MAG_00001,72173,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Citromicrobium
TARA_IOS_MAG_00067,2742,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Marinobacter
TARA_MED_MAG_00104,1655514,Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae
TARA_RED_MAG_00096,415000,Bacteria;Verrucomicrobia;Opitutae;Opitutales
TARA_ION_MAG_00071,2759,Eukaryota
TARA_RED_MAG_00123,2,Bacteria
TARA_MED_MAG_00135,1,
TARA_ASW_MAG_00047,2902,Eukaryota;Isochrysidales;Noelaerhabdaceae;Emiliania
TARA_MED_MAG_00068,1236,Bacteria;Proteobacteria;Gammaproteobacteria
TARA_ANE_MAG_00040,200644,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales
TARA_IOS_MAG_00023,41295,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae
TARA_ANW_MAG_00015,170,Bacteria;Spirochaetes;Spirochaetia;Leptospiraceae
TARA_ANW_MAG_00035,126,Bacteria;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae
TARA_ANE_MAG_00017,1655514,Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae
TARA_PSE_MAG_00129,70447,Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Ostreococcus
TARA_ANE_MAG_00007,33882,Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium
TARA_SOC_MAG_00010,1236,Bacteria;Proteobacteria;Gammaproteobacteria
TARA_ION_MAG_00005,475794,Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Halieaceae;Haliea
TARA_IOS_MAG_00041,203557,Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae
TARA_ANE_MAG_00080,72275,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae
TARA_ASE_MAG_00006,72274,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales
TARA_PSW_MAG_00086,28890,Archaea;Euryarchaeota
TARA_MED_MAG_00079,28890,Archaea;Euryarchaeota
TARA_PSW_MAG_00007,1236,Bacteria;Proteobacteria;Gammaproteobacteria
