Genome ID,Domain,Phylum,Class,Order,Family,Genus,Species
TOBG_NAT-237,Bacteria,Kiritimatiellaeota,Kiritimatiellae,Kiritimatiellales,Kiritimatiellaceae,null,null
TOBG_NAT-234,Archaea,Euryarcheoata,null,null,novelFamily_H,null,null
TOBG_EAC-31,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Aequorivita,null
TOBG_EAC-30,Archaea,Euryarcheoata,null,null,novelFamily_A,null,null
TOBG_EAC-33,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,novelFamily_F,null,null
TOBG_EAC-32,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Crocinitomicaceae,null,null
TOBG_EAC-35,Bacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Acidimicrobiaceae,novelGenus_A,null
TOBG_EAC-34,Bacteria,Chloroflexi,novelClass_E,novelOrder_B,null,null,null
TOBG_EAC-39,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Methylophaga,null
TOBG_SP-2997,Bacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Acidimicrobiaceae,novelGenus_C,null
TOBG_MED-705,Archaea,Euryarcheoata,null,null,novelFamily_D,null,null
TOBG_MED-704,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,novelGenus_G,null
TOBG_MED-706,Archaea,Euryarcheoata,null,null,novelFamily_F,null,null
TOBG_MED-701,Bacteria,Proteobacteria,Gammaproteobacteria,novelOrder_C,null,null,null
TOBG_MED-700,Archaea,Euryarcheoata,null,null,novelFamily_C,null,null
TOBG_MED-703,Bacteria,Planctomycetes,Phycisphaerae,JL-ENTP-F27,null,null,null
TOBG_MED-702,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Hyphomonas,null
TOBG_MED-709,Bacteria,Proteobacteria,Gammaproteobacteria,novelOrder_E,null,null,null
TOBG_MED-708,Bacteria,Planctomycetes,Phycisphaerae,Urania1B19,null,null,null
TOBG_SP-306,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Halobacteriovoraceae,null,null
TOBG_RS-412,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Marinovum,null
TOBG_RS-411,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,null
TOBG_SP-305,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,novelFamily_F,null,null
TOBG_SAT-118,Bacteria,CandidatePhylaRadiation,null,null,null,null,null
TOBG_SP-304,Bacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Acidimicrobiaceae,novelGenus_A,null
TOBG_NP-1301,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,novelGenus_F,null
TOBG_NP-1304,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,novel_genusE7,null
TOBG_NP-39,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,null,null
TOBG_ARS-1318,Archaea,Pacearchaeota,null,null,null,null,null
TOBG_IN-9,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,null,null,null
TOBG_IN-3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Morazellaceae,Acinetobacter,null
TOBG_ARS-1310,Bacteria,Proteobacteria,novelClass_A,null,null,null,null
TOBG_IN-6,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,null
TOBG_IN-7,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Pusillimonas,null
TOBG_IN-4,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Pusillimonas,null
TOBG_IN-5,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Methylophaga,null
TOBG_NP-89,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,novelFamily_D,null,null
TOBG_NP-86,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,novelGenus_F,null
TOBG_NP-87,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,novelGenus_I,null
TOBG_NP-84,Archaea,Euryarcheoata,null,null,novelFamily_I,null,null
TOBG_NP-83,Archaea,Euryarcheoata,null,null,novelFamily_D,null,null
TOBG_NP-80,Bacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Acidimicrobiaceae,novelGenus_B,null
TOBG_SP-312,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,spongiibacter,null
TOBG_SP-313,Bacteria,Proteobacteria,Gammaproteobacteria,novel_order_E1,null,null,null
TOBG_NP-113,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,null,null
TOBG_NP-112,Archaea,Euryarcheoata,null,null,null,null,null
TOBG_NP-115,Bacteria,CandidatePhylaRadiation,null,null,null,null,null
TOBG_NP-117,Bacteria,Verrucomicrobia,Opitutae,novelOrder_B,null,null,null
TOBG_NP-116,Archaea,Euryarcheoata,null,null,novelFamily_E,null,null
TOBG_NP-119,Bacteria,Proteobacteria,Deltaproteobacteria,null,null,null,null
TOBG_ARS-1403,Archaea,Nanoarchaoeta,null,null,null,null,null
TOBG_SP-319,Bacteria,Chloroflexi,SAR202-1,null,null,null,null
TOBG_SAT-3078,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,novel_genusE4,null
TOBG_SAT-3076,Bacteria,Chloroflexi,SAR202-2,novelOrder_B,null,null,null
TOBG_SP-251,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,null,null
TOBG_SP-250,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,novelFamily_E,null,null
TOBG_SP-253,Bacteria,Chloroflexi,SAR202-1,null,null,null,null
TOBG_SP-252,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Rheinheimera,null
TOBG_SP-255,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,null,null
TOBG_SP-257,Bacteria,Chloroflexi,SAR202-2,novelOrder_A,null,null,null
TOBG_SP-259,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,null,null
TOBG_SP-258,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta,null
TOBG_MED-1105,Bacteria,Marinimicrobia,null,null,null,null,null
TOBG_SAT-109,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,null
TOBG_SAT-2610,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324cluster,null,null,null
TOBG_SAT-2619,Bacteria,Marinimicrobia,null,null,null,null,null
TOBG_SP-4215,Bacteria,Chloroflexi,novelClass_E,novelOrder_B,null,null,null
TOBG_SP-324,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,novelFamily_E,null,null
TOBG_SAT-2856,Bacteria,Proteobacteria,Gammaproteobacteria,novelOrder_B,null,null,null
TOBG_SP-321,Bacteria,Chloroflexi,SAR202-2,novelOrder_B,null,null,null
TOBG_SP-320,Bacteria,Chloroflexi,SAR202-1,null,null,null,null
TOBG_SP-323,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Flammeovirgaceae,novelGenus_C,null
TOBG_SP-329,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Crocinitomicaceae,null,null
TOBG_SAT-103,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Crocinitomicaceae,null,null
TOBG_RS-582,Bacteria,Proteobacteria,Gammaproteobacteria,novelOrder_D,null,null,null
TOBG_SP-3004,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,novelGenus_D,null
TOBG_SAT-102,Archaea,Euryarcheoata,null,null,novelFamily_G,null,null
TOBG_SP-3005,Bacteria,Proteobacteria,Deltaproteobacteria,null,null,null,null
TOBG_SP-3007,Archaea,Euryarcheoata,null,null,novelFamily_I,null,null
TOBG_MED-955,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,nove_genusE8,null
TOBG_MED-957,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,novelGenus_F,null
TOBG_MED-950,Bacteria,Proteobacteria,Gammaproteobacteria,novelOrder_B,null,null,null
TOBG_NAT-686,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,novel_genusE4,null
TOBG_MED-952,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,novelGenus_C,null
TOBG_SAT-86,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Aequorivita,null
TOBG_SAT-85,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,null,null
TOBG_SAT-84,Bacteria,Proteobacteria,Gammaproteobacteria,novelOrder_E,null,null,null
TOBG_MED-1247,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,novelGenus_E,null
TOBG_SAT-83,Bacteria,Proteobacteria,Gammaproteobacteria,novel_order_E1,null,null,null
TOBG_SAT-82,Bacteria,Cyanobacteria,null,Synechococcales,Synechococcaceae,Synechococcus,null
TOBG_SAT-81,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,novelFamily_E,null,null
TOBG_SAT-80,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,nove_genusE8,null
TOBG_ARS-95,Bacteria,Marinimicrobia,null,null,null,null,null
TOBG_ARS-96,Archaea,Euryarcheoata,null,null,novelFamily_J,null,null
TOBG_CPC-65,Bacteria,Proteobacteria,Alphaproteobacteria,unclassifiedAlphaproteobacteria,SAR116cluster,null,null
